rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.074.386 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.849 W srv  llama_server: -----------------
0.00.074.852 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.852 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.853 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.853 W srv  llama_server: -----------------
0.00.076.147 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.932.372 I cmn          init: llama threadpool init, n_threads = 4
0.01.972.411 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.972.456 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.972.457 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.977.364 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.977.397 I srv  llama_server: model loaded
0.01.977.402 I srv  llama_server: listening on http://127.0.0.1:18311
0.10.612.099 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.17.372.262 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4224, progress = 0.52, t =   6.73 s / 627.32 tokens per second
0.17.590.865 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.95 s / 626.00 tokens per second
0.17.590.923 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4480, progress = 0.55, t =   6.98 s / 641.96 tokens per second
0.17.590.959 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4352, progress = 0.53, t =   6.95 s / 626.00 tokens per second
0.17.808.878 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.17 s / 624.82 tokens per second
0.17.808.937 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.20 s / 640.30 tokens per second
0.17.808.962 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4480, progress = 0.55, t =   7.17 s / 624.82 tokens per second
0.18.028.621 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.39 s / 623.56 tokens per second
0.18.028.658 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.42 s / 638.58 tokens per second
0.18.028.682 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4608, progress = 0.56, t =   7.39 s / 623.56 tokens per second
0.18.246.811 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.61 s / 622.50 tokens per second
0.18.246.832 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.63 s / 637.10 tokens per second
0.18.246.844 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4736, progress = 0.58, t =   7.61 s / 622.50 tokens per second
0.18.467.809 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.83 s / 621.28 tokens per second
0.18.467.846 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4992, progress = 0.61, t =   7.86 s / 635.47 tokens per second
0.18.467.870 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4864, progress = 0.59, t =   7.83 s / 621.28 tokens per second
0.18.690.923 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.05 s / 619.96 tokens per second
0.18.690.959 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.08 s / 633.77 tokens per second
0.18.690.985 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   4992, progress = 0.61, t =   8.05 s / 619.97 tokens per second
0.18.914.274 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.28 s / 618.69 tokens per second
0.18.914.315 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.30 s / 632.13 tokens per second
0.18.914.340 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5120, progress = 0.62, t =   8.28 s / 618.70 tokens per second
0.19.138.764 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.50 s / 617.41 tokens per second
0.19.138.791 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.53 s / 630.50 tokens per second
0.19.138.809 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5248, progress = 0.64, t =   8.50 s / 617.42 tokens per second
0.19.364.018 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.73 s / 616.14 tokens per second
0.19.364.055 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.75 s / 628.90 tokens per second
0.19.364.080 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.73 s / 616.15 tokens per second
0.19.590.123 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.95 s / 614.88 tokens per second
0.19.590.159 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5632, progress = 0.69, t =   8.98 s / 627.32 tokens per second
0.19.590.183 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.95 s / 614.88 tokens per second
0.19.816.529 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5632, progress = 0.69, t =   9.18 s / 613.66 tokens per second
0.19.816.566 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.20 s / 625.79 tokens per second
0.19.816.591 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5632, progress = 0.69, t =   9.18 s / 613.66 tokens per second
0.20.043.521 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.40 s / 612.46 tokens per second
0.20.043.554 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.43 s / 624.30 tokens per second
0.20.043.578 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.40 s / 612.46 tokens per second
0.20.272.089 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.63 s / 611.21 tokens per second
0.20.272.123 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.66 s / 622.78 tokens per second
0.20.272.146 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.63 s / 611.22 tokens per second
0.20.501.634 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.86 s / 609.97 tokens per second
0.20.501.669 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6144, progress = 0.75, t =   9.89 s / 621.27 tokens per second
0.20.501.693 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.86 s / 609.97 tokens per second
0.20.732.684 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6144, progress = 0.75, t =  10.09 s / 608.68 tokens per second
0.20.732.719 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.12 s / 619.73 tokens per second
0.20.732.740 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6144, progress = 0.75, t =  10.09 s / 608.69 tokens per second
0.20.963.297 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.32 s / 607.49 tokens per second
0.20.963.332 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.35 s / 618.29 tokens per second
0.20.963.353 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.32 s / 607.49 tokens per second
0.21.194.631 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.56 s / 606.30 tokens per second
