rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.812 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.266 W srv  llama_server: -----------------
0.00.073.268 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.268 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.268 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.269 W srv  llama_server: -----------------
0.00.074.564 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.928.262 I cmn          init: llama threadpool init, n_threads = 4
0.01.968.951 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8704, kv_unified = 'false'
0.01.968.994 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.968.995 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.973.887 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.973.922 I srv  llama_server: model loaded
0.01.973.927 I srv  llama_server: listening on http://127.0.0.1:18235
0.10.916.573 I slot get_availabl: id  3 | task -1 | selected slot by id (3)
0.16.543.366 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   2944, progress = 0.36, t =   5.63 s / 523.24 tokens per second
0.16.543.387 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   2944, progress = 0.36, t =   5.63 s / 523.24 tokens per second
0.16.803.592 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   2944, progress = 0.36, t =   5.69 s / 517.68 tokens per second
0.16.803.652 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3072, progress = 0.38, t =   5.89 s / 521.84 tokens per second
0.16.803.673 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3072, progress = 0.38, t =   5.89 s / 521.85 tokens per second
0.16.803.697 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3072, progress = 0.38, t =   5.89 s / 521.85 tokens per second
0.17.064.758 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3072, progress = 0.38, t =   5.95 s / 516.46 tokens per second
0.17.064.804 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3200, progress = 0.39, t =   6.15 s / 520.49 tokens per second
0.17.064.835 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3200, progress = 0.39, t =   6.15 s / 520.50 tokens per second
0.17.064.865 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3200, progress = 0.39, t =   6.15 s / 520.50 tokens per second
0.17.326.271 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3200, progress = 0.39, t =   6.21 s / 515.33 tokens per second
0.17.326.315 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3328, progress = 0.41, t =   6.41 s / 519.23 tokens per second
0.17.326.347 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3328, progress = 0.41, t =   6.41 s / 519.23 tokens per second
0.17.326.379 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3328, progress = 0.41, t =   6.41 s / 519.23 tokens per second
0.17.587.885 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3328, progress = 0.41, t =   6.47 s / 514.27 tokens per second
0.17.587.923 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3456, progress = 0.42, t =   6.67 s / 518.05 tokens per second
0.17.587.950 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3456, progress = 0.42, t =   6.67 s / 518.06 tokens per second
0.17.587.981 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3456, progress = 0.42, t =   6.67 s / 518.06 tokens per second
0.17.851.510 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3456, progress = 0.42, t =   6.73 s / 513.15 tokens per second
0.17.851.530 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3584, progress = 0.44, t =   6.93 s / 516.82 tokens per second
0.17.851.541 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3584, progress = 0.44, t =   6.93 s / 516.82 tokens per second
0.17.851.553 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3584, progress = 0.44, t =   6.93 s / 516.82 tokens per second
0.18.117.742 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3584, progress = 0.44, t =   7.00 s / 511.92 tokens per second
0.18.117.789 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3712, progress = 0.45, t =   7.20 s / 515.48 tokens per second
0.18.117.820 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3712, progress = 0.45, t =   7.20 s / 515.49 tokens per second
0.18.117.851 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3712, progress = 0.45, t =   7.20 s / 515.49 tokens per second
0.18.382.448 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3712, progress = 0.45, t =   7.27 s / 510.88 tokens per second
0.18.382.475 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3840, progress = 0.47, t =   7.47 s / 514.35 tokens per second
0.18.382.563 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3840, progress = 0.47, t =   7.47 s / 514.35 tokens per second
0.18.382.586 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3840, progress = 0.47, t =   7.47 s / 514.36 tokens per second
0.18.650.453 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3840, progress = 0.47, t =   7.53 s / 509.70 tokens per second
0.18.650.486 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   3968, progress = 0.48, t =   7.73 s / 513.08 tokens per second
0.18.650.507 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   3968, progress = 0.48, t =   7.73 s / 513.08 tokens per second
0.18.650.528 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   3968, progress = 0.48, t =   7.73 s / 513.08 tokens per second
0.18.919.443 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   3968, progress = 0.48, t =   7.80 s / 508.53 tokens per second
0.18.919.480 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4096, progress = 0.50, t =   8.00 s / 511.83 tokens per second
0.18.919.506 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4096, progress = 0.50, t =   8.00 s / 511.83 tokens per second
0.18.919.533 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4096, progress = 0.50, t =   8.00 s / 511.83 tokens per second
0.19.186.981 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4096, progress = 0.50, t =   8.07 s / 507.54 tokens per second
0.19.187.018 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   4224, progress = 0.52, t =   8.27 s / 510.75 tokens per second
0.19.187.040 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   4224, progress = 0.52, t =   8.27 s / 510.75 tokens per second
0.19.187.063 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   4224, progress = 0.52, t =   8.27 s / 510.75 tokens per second
0.19.455.115 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   4224, progress = 0.52, t =   8.34 s / 506.57 tokens per second
