rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.609 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.210 W srv  llama_server: -----------------
0.00.073.212 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.212 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.213 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.213 W srv  llama_server: -----------------
0.00.074.576 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.908.027 I cmn          init: llama threadpool init, n_threads = 4
0.01.948.845 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.948.894 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.948.895 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.953.848 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.953.889 I srv  llama_server: model loaded
0.01.953.899 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.447.804 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.19.019.222 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.57 s / 627.22 tokens per second
0.19.245.621 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.78 s / 612.41 tokens per second
0.19.245.662 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5376, progress = 0.66, t =   8.78 s / 612.41 tokens per second
0.19.245.713 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5504, progress = 0.67, t =   8.80 s / 625.62 tokens per second
0.19.473.873 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5504, progress = 0.67, t =   9.01 s / 611.10 tokens per second
0.19.473.911 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5504, progress = 0.67, t =   9.01 s / 611.10 tokens per second
0.19.473.938 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5632, progress = 0.69, t =   9.03 s / 623.98 tokens per second
0.19.700.001 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5632, progress = 0.69, t =   9.23 s / 610.00 tokens per second
0.19.700.025 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5632, progress = 0.69, t =   9.23 s / 610.00 tokens per second
0.19.700.040 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.25 s / 622.56 tokens per second
0.19.929.638 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.46 s / 608.72 tokens per second
0.19.929.697 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5760, progress = 0.70, t =   9.46 s / 608.72 tokens per second
0.19.929.728 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.48 s / 620.98 tokens per second
0.20.159.516 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.69 s / 607.49 tokens per second
0.20.159.559 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   5888, progress = 0.72, t =   9.69 s / 607.49 tokens per second
0.20.159.588 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.71 s / 619.46 tokens per second
0.20.391.798 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.92 s / 606.17 tokens per second
0.20.391.842 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6016, progress = 0.73, t =   9.92 s / 606.17 tokens per second
0.20.391.873 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6144, progress = 0.75, t =   9.94 s / 617.87 tokens per second
0.20.622.155 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6144, progress = 0.75, t =  10.15 s / 605.02 tokens per second
0.20.622.203 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6144, progress = 0.75, t =  10.15 s / 605.03 tokens per second
0.20.622.236 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.17 s / 616.46 tokens per second
0.20.853.348 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.39 s / 603.88 tokens per second
0.20.853.380 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6272, progress = 0.77, t =  10.39 s / 603.88 tokens per second
0.20.853.397 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.41 s / 615.06 tokens per second
0.21.089.740 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.62 s / 602.49 tokens per second
0.21.089.789 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6400, progress = 0.78, t =  10.62 s / 602.49 tokens per second
0.21.089.828 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.64 s / 613.43 tokens per second
0.21.322.358 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.86 s / 601.37 tokens per second
0.21.322.376 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6528, progress = 0.80, t =  10.86 s / 601.37 tokens per second
0.21.322.386 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6656, progress = 0.81, t =  10.87 s / 612.08 tokens per second
0.21.559.577 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6656, progress = 0.81, t =  11.09 s / 600.05 tokens per second
0.21.559.613 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6656, progress = 0.81, t =  11.09 s / 600.05 tokens per second
0.21.559.638 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.11 s / 610.53 tokens per second
0.21.795.143 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.33 s / 598.87 tokens per second
0.21.795.176 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6784, progress = 0.83, t =  11.33 s / 598.87 tokens per second
0.21.795.198 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.35 s / 609.14 tokens per second
0.22.032.378 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.57 s / 597.66 tokens per second
0.22.032.400 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   6912, progress = 0.84, t =  11.57 s / 597.66 tokens per second
0.22.032.413 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.58 s / 607.71 tokens per second
0.22.272.782 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.81 s / 596.33 tokens per second
0.22.272.827 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   7040, progress = 0.86, t =  11.81 s / 596.33 tokens per second
0.22.272.857 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   7168, progress = 0.88, t =  11.82 s / 606.18 tokens per second
0.22.511.795 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   7168, progress = 0.88, t =  12.04 s / 595.12 tokens per second
